"0","Arts & Photography","6460"
"1","Biographies & Memoirs","4261"
"2","Business & Money","9965"
"3","Calendars","2636"
"4","Children's Books","13605"
"5","Comics & Graphic Novels","3026"
"6","Computers & Technology","7979"
"7","Cookbooks Food & Wine","8802"
"8","Crafts Hobbies & Home","9934"
"9","Christian Books & Bibles","9139"
"10","Engineering & Transportation","2672"
"11","Health Fitness & Dieting","11886"
"12","History","6807"
"13","Humor & Entertainment","6896"
"14","Law","7314"
"15","Literature & Fiction","7580"
"16","Medical Books","12089"
"17","Mystery Thriller & Suspense","1998"
"18","Parenting & Relationships","2523"
"19","Politics & Social Sciences","3402"
"20","Reference","3268"
"21","Religion & Spirituality","7559"
"22","Romance","4291"
"23","Science & Math","9276"
"24","Science Fiction & Fantasy","3800"
"25","Self-Help","2703"
"26","Sports & Outdoors","5968"
"27","Teen & Young Adult","7489"
"28","Test Preparation","2906"
"29","Travel","18338"
"30","Gay & Lesbian","1339"
"31","Education & Teaching","1664"
